"ensembl_id","ensembl_gene_id","gene_name","gene_biotype","entrezid","description"
"ENSDARG00000030598","ENSDARG00000030598","nampta","protein_coding",100330160,"nicotinamide phosphoribosyltransferase a [Source:ZFIN;Acc:ZDB-GENE-110420-1]"
"ENSDARG00000030602","ENSDARG00000030602","rps19","protein_coding",393723,"ribosomal protein S19 [Source:ZFIN;Acc:ZDB-GENE-040426-1716]"
"ENSDARG00000030604","ENSDARG00000030604","phkg1a","protein_coding",565379,"phosphorylase kinase, gamma 1a (muscle) [Source:ZFIN;Acc:ZDB-GENE-061103-385]"
"ENSDARG00000030608","ENSDARG00000030608","rhogd","protein_coding",393653,"ras homolog gene family, member Gd [Source:ZFIN;Acc:ZDB-GENE-040426-1504]"
"ENSDARG00000030614","ENSDARG00000030614","syt1a","protein_coding",436736,"synaptotagmin Ia [Source:ZFIN;Acc:ZDB-GENE-040718-165]"
"ENSDARG00000030616","ENSDARG00000030616","nfe2l1a","protein_coding",405781,"nuclear factor, erythroid 2-like 1a [Source:ZFIN;Acc:ZDB-GENE-040630-5]"
"ENSDARG00000030621","ENSDARG00000030621","th","protein_coding",30384,"tyrosine hydroxylase [Source:ZFIN;Acc:ZDB-GENE-990621-5]"
"ENSDARG00000030626","ENSDARG00000030626","lrit2","protein_coding",553557,"leucine-rich repeat, immunoglobulin-like and transmembrane domains 2 [Source:ZFIN;Acc:ZDB-GENE-050522-160]"
"ENSDARG00000030630","ENSDARG00000030630","mfsd2aa","protein_coding",492810,"major facilitator superfamily domain containing 2aa [Source:ZFIN;Acc:ZDB-GENE-041114-166]"
"ENSDARG00000030632","ENSDARG00000030632","ccdc3b","protein_coding",553593,"coiled-coil domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-050522-184]"
"ENSDARG00000030633","ENSDARG00000030633","plekhm3","protein_coding",571507,"pleckstrin homology domain containing, family M, member 3 [Source:ZFIN;Acc:ZDB-GENE-070912-382]"
"ENSDARG00000030634","ENSDARG00000030634","pimr189","protein_coding",NA,"Pim proto-oncogene, serine/threonine kinase, related 189 [Source:ZFIN;Acc:ZDB-GENE-081104-447]"
"ENSDARG00000030636","ENSDARG00000030636","tex30","protein_coding",567483,"testis expressed 30 [Source:ZFIN;Acc:ZDB-GENE-041210-219]"
"ENSDARG00000030641","ENSDARG00000030641","letmd1","protein_coding",567014,"LETM1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-080723-8]"
"ENSDARG00000030644","ENSDARG00000030644","gnai3","protein_coding",100006888,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-070713-6]"
"ENSDARG00000030650","ENSDARG00000030650","r3hdml","protein_coding",561976,"R3H domain containing-like [Source:ZFIN;Acc:ZDB-GENE-090313-275]"
"ENSDARG00000030656","ENSDARG00000030656","sept3","protein_coding",554123,"septin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-375]"
"ENSDARG00000030665","ENSDARG00000030665","CU929230.1","protein_coding",797473,"transcription elongation regulator 1b (CA150) [Source:NCBI gene;Acc:797473]"
"ENSDARG00000030687","ENSDARG00000030687","phka2","protein_coding",556199,"phosphorylase kinase, alpha 2 (liver) [Source:ZFIN;Acc:ZDB-GENE-130422-1]"
"ENSDARG00000030694","ENSDARG00000030694","atp6v1e1b","protein_coding",192335,"ATPase H+ transporting V1 subunit E1b [Source:ZFIN;Acc:ZDB-GENE-020419-11]"
"ENSDARG00000030700","ENSDARG00000030700","ctps1a","protein_coding",322089,"CTP synthase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-808]"
"ENSDARG00000030703","ENSDARG00000030703","otx2a","protein_coding",30462,"orthodenticle homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-980526-27]"
"ENSDARG00000030716","ENSDARG00000030716","ing4","protein_coding",322113,"inhibitor of growth family, member 4 [Source:ZFIN;Acc:ZDB-GENE-050522-47]"
"ENSDARG00000030722","ENSDARG00000030722","xirp1","protein_coding",497637,"xin actin binding repeat containing 1 [Source:ZFIN;Acc:ZDB-GENE-050221-2]"
"ENSDARG00000030723","ENSDARG00000030723","cldn11b","protein_coding",81592,"claudin 11b [Source:ZFIN;Acc:ZDB-GENE-010328-13]"
"ENSDARG00000030733","ENSDARG00000030733","b3gat2","protein_coding",445060,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:ZFIN;Acc:ZDB-GENE-040801-191]"
"ENSDARG00000030743","ENSDARG00000030743","sptlc3","protein_coding",445168,"serine palmitoyltransferase, long chain base subunit 3 [Source:ZFIN;Acc:ZDB-GENE-041210-281]"
"ENSDARG00000030750","ENSDARG00000030750","gabrr3b","protein_coding",561083,"gamma-aminobutyric acid (GABA) A receptor, rho 3b [Source:ZFIN;Acc:ZDB-GENE-131120-131]"
"ENSDARG00000030753","ENSDARG00000030753","prrg4","protein_coding",550330,"proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane) [Source:ZFIN;Acc:ZDB-GENE-050417-112]"
"ENSDARG00000030756","ENSDARG00000030756","dnmt1","protein_coding",30430,"DNA (cytosine-5-)-methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-990714-15]"
"ENSDARG00000030758","ENSDARG00000030758","guca1c","protein_coding",373099,"guanylate cyclase activator 1C [Source:ZFIN;Acc:ZDB-GENE-030829-1]"
"ENSDARG00000030759","ENSDARG00000030759","melk","protein_coding",30724,"maternal embryonic leucine zipper kinase [Source:ZFIN;Acc:ZDB-GENE-990603-5]"
"ENSDARG00000030761","ENSDARG00000030761","syt16","protein_coding",NA,"synaptotagmin XVI [Source:ZFIN;Acc:ZDB-GENE-090313-210]"
"ENSDARG00000030765","ENSDARG00000030765","hadh","protein_coding",445121,"hydroxyacyl-CoA dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-040801-261]"
"ENSDARG00000030775","ENSDARG00000030775","sybl1","protein_coding",393236,"synaptobrevin-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1055]"
"ENSDARG00000030778","ENSDARG00000030778","BX323854.1","protein_coding",NA,"NULL"
"ENSDARG00000030781","ENSDARG00000030781","acads","protein_coding",445288,"acyl-CoA dehydrogenase short chain [Source:ZFIN;Acc:ZDB-GENE-040808-64]"
"ENSDARG00000030782","ENSDARG00000030782","exoc3l2b","protein_coding",565839,"exocyst complex component 3-like 2b [Source:ZFIN;Acc:ZDB-GENE-100728-5]"
"ENSDARG00000030786","ENSDARG00000030786","mpi","protein_coding",613246,"mannose phosphate isomerase [Source:ZFIN;Acc:ZDB-GENE-050904-6]"
"ENSDARG00000030789","ENSDARG00000030789","ddx18","protein_coding",321127,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:ZFIN;Acc:ZDB-GENE-030131-9685]"
"ENSDARG00000030803","ENSDARG00000030803","zgc:110006","protein_coding",553573,"zgc:110006 [Source:ZFIN;Acc:ZDB-GENE-050522-119]"
"ENSDARG00000030804","ENSDARG00000030804","fam120b","protein_coding",445206,"family with sequence similarity 120B [Source:ZFIN;Acc:ZDB-GENE-040801-119]"
"ENSDARG00000030805","ENSDARG00000030805","znhit2","protein_coding",777606,"zinc finger, HIT-type containing 2 [Source:ZFIN;Acc:ZDB-GENE-061103-46]"
"ENSDARG00000030824","ENSDARG00000030824","esyt2a","protein_coding",570012,"extended synaptotagmin-like protein 2a [Source:ZFIN;Acc:ZDB-GENE-070912-588]"
"ENSDARG00000030830","ENSDARG00000030830","cmtr1","protein_coding",393102,"cap methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-696]"
"ENSDARG00000030832","ENSDARG00000030832","otofa","protein_coding",557476,"otoferlin a [Source:ZFIN;Acc:ZDB-GENE-030131-7778]"
"ENSDARG00000030839","ENSDARG00000030839","tescb","protein_coding",402993,"tescalcin b [Source:ZFIN;Acc:ZDB-GENE-040426-1903]"
"ENSDARG00000030844","ENSDARG00000030844","klf11a","protein_coding",560787,"Kruppel-like factor 11a [Source:ZFIN;Acc:ZDB-GENE-030131-3568]"
"ENSDARG00000030867","ENSDARG00000030867","opn7c","protein_coding",562695,"opsin 7, group member c [Source:ZFIN;Acc:ZDB-GENE-060526-333]"
"ENSDARG00000030871","ENSDARG00000030871","siah1","protein_coding",80955,"siah E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-010319-31]"
"ENSDARG00000030872","ENSDARG00000030872","cetp","protein_coding",492488,"cholesteryl ester transfer protein, plasma [Source:ZFIN;Acc:ZDB-GENE-041114-54]"
"ENSDARG00000030881","ENSDARG00000030881","baxb","protein_coding",503609,"BCL2 associated X, apoptosis regulator b [Source:ZFIN;Acc:ZDB-GENE-050227-21]"
"ENSDARG00000030887","ENSDARG00000030887","phf23a","protein_coding",541372,"PHD finger protein 23a [Source:ZFIN;Acc:ZDB-GENE-050320-67]"
"ENSDARG00000030896","ENSDARG00000030896","foxq1a","protein_coding",100537750,"forkhead box Q1a [Source:ZFIN;Acc:ZDB-GENE-070424-74]"
"ENSDARG00000030905","ENSDARG00000030905","cited2","protein_coding",450024,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 [Source:ZFIN;Acc:ZDB-GENE-041010-141]"
"ENSDARG00000030913","ENSDARG00000030913","cluha","protein_coding",562666,"clustered mitochondria (cluA/CLU1) homolog a [Source:ZFIN;Acc:ZDB-GENE-061103-457]"
"ENSDARG00000030914","ENSDARG00000030914","tmem120a","protein_coding",100005623,"transmembrane protein 120A [Source:ZFIN;Acc:ZDB-GENE-070424-21]"
"ENSDARG00000030915","ENSDARG00000030915","cpa1","protein_coding",325886,"carboxypeptidase A1 (pancreatic) [Source:ZFIN;Acc:ZDB-GENE-050522-438]"
"ENSDARG00000030932","ENSDARG00000030932","fgf10a","protein_coding",359830,"fibroblast growth factor 10a [Source:ZFIN;Acc:ZDB-GENE-030715-1]"
"ENSDARG00000030933","ENSDARG00000030933","ksr1b","protein_coding",556779,"kinase suppressor of ras 1b [Source:ZFIN;Acc:ZDB-GENE-040724-45]"
"ENSDARG00000030938","ENSDARG00000030938","fermt3b","protein_coding",393878,"fermitin family member 3b [Source:ZFIN;Acc:ZDB-GENE-040426-1366]"
"ENSDARG00000030945","ENSDARG00000030945","si:ch211-259g3.4","protein_coding",NA,"si:ch211-259g3.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8118]"
"ENSDARG00000030949","ENSDARG00000030949","srprb","protein_coding",436845,"SRP receptor subunit beta [Source:ZFIN;Acc:ZDB-GENE-040718-311]"
"ENSDARG00000030954","ENSDARG00000030954","ftr56","protein_coding",561680,"finTRIM family, member 56 [Source:ZFIN;Acc:ZDB-GENE-030131-2801]"
"ENSDARG00000030957","ENSDARG00000030957","yipf4","protein_coding",405827,"Yip1 domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2253]"
"ENSDARG00000030961","ENSDARG00000030961","ak8","protein_coding",553671,"adenylate kinase 8 [Source:ZFIN;Acc:ZDB-GENE-050522-275]"
"ENSDARG00000030964","ENSDARG00000030964","pde12","protein_coding",692319,"phosphodiesterase 12 [Source:ZFIN;Acc:ZDB-GENE-060519-25]"
"ENSDARG00000030967","ENSDARG00000030967","si:ch211-51a6.2","protein_coding",562156,"si:ch211-51a6.2 [Source:ZFIN;Acc:ZDB-GENE-090313-118]"
"ENSDARG00000030972","ENSDARG00000030972","dnaja1","protein_coding",323922,"DnaJ (Hsp40) homolog, subfamily A, member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2642]"
"ENSDARG00000030975","ENSDARG00000030975","ccdc80l1","protein_coding",569128,"coiled-coil domain containing 80 like 1 [Source:ZFIN;Acc:ZDB-GENE-120328-4]"
"ENSDARG00000030980","ENSDARG00000030980","csrp1b","protein_coding",791132,"cysteine and glycine-rich protein 1b [Source:ZFIN;Acc:ZDB-GENE-070112-252]"
"ENSDARG00000030981","ENSDARG00000030981","tmem127","protein_coding",553545,"transmembrane protein 127 [Source:ZFIN;Acc:ZDB-GENE-050522-97]"
"ENSDARG00000030999","ENSDARG00000030999","mybl1","protein_coding",558540,"v-myb avian myeloblastosis viral oncogene homolog-like 1 [Source:ZFIN;Acc:ZDB-GENE-041111-281]"
"ENSDARG00000031015","ENSDARG00000031015","dtna","protein_coding",794932,"dystrobrevin, alpha [Source:ZFIN;Acc:ZDB-GENE-070117-2]"
"ENSDARG00000031020","ENSDARG00000031020","pip4k2ca","protein_coding",373124,"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma a [Source:ZFIN;Acc:ZDB-GENE-030828-9]"
"ENSDARG00000031044","ENSDARG00000031044","lipg","protein_coding",393096,"lipase, endothelial [Source:ZFIN;Acc:ZDB-GENE-040426-699]"
"ENSDARG00000031046","ENSDARG00000031046","nr1h5","protein_coding",557500,"nuclear receptor subfamily 1, group H, member 5 [Source:ZFIN;Acc:ZDB-GENE-080403-3]"
"ENSDARG00000031048","ENSDARG00000031048","gspt1","protein_coding",445485,"G1 to S phase transition 1 [Source:ZFIN;Acc:ZDB-GENE-040822-36]"
"ENSDARG00000031049","ENSDARG00000031049","igsf21a","protein_coding",569872,"immunoglobin superfamily, member 21a [Source:ZFIN;Acc:ZDB-GENE-050809-118]"
"ENSDARG00000031075","ENSDARG00000031075","cadm1a","protein_coding",569931,"cell adhesion molecule 1a [Source:ZFIN;Acc:ZDB-GENE-080505-2]"
"ENSDARG00000031095","ENSDARG00000031095","veph1","protein_coding",405756,"ventricular zone expressed PH domain-containing 1 [Source:ZFIN;Acc:ZDB-GENE-041014-375]"
"ENSDARG00000031098","ENSDARG00000031098","timm50","protein_coding",393638,"translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1618]"
"ENSDARG00000031100","ENSDARG00000031100","ivns1abpa","protein_coding",387591,"influenza virus NS1A binding protein a [Source:ZFIN;Acc:ZDB-GENE-031222-2]"
"ENSDARG00000031108","ENSDARG00000031108","lrba","protein_coding",562379,"LPS-responsive vesicle trafficking, beach and anchor containing [Source:ZFIN;Acc:ZDB-GENE-090311-19]"
"ENSDARG00000031116","ENSDARG00000031116","dnal4a","protein_coding",445209,"dynein, axonemal, light chain 4a [Source:ZFIN;Acc:ZDB-GENE-040801-122]"
"ENSDARG00000031119","ENSDARG00000031119","baiap2l1b","protein_coding",550528,"BAI1-associated protein 2-like 1b [Source:ZFIN;Acc:ZDB-GENE-050417-371]"
"ENSDARG00000031126","ENSDARG00000031126","notum1a","protein_coding",570510,"notum, palmitoleoyl-protein carboxylesterase a [Source:ZFIN;Acc:ZDB-GENE-120807-2]"
"ENSDARG00000031136","ENSDARG00000031136","moxd1","protein_coding",570584,"monooxygenase, DBH-like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9320]"
"ENSDARG00000031138","ENSDARG00000031138","irx3b","protein_coding",321806,"iroquois homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-030131-525]"
"ENSDARG00000031150","ENSDARG00000031150","gba3","protein_coding",553722,"glucosidase, beta, acid 3 (gene/pseudogene) [Source:ZFIN;Acc:ZDB-GENE-050522-351]"
"ENSDARG00000031161","ENSDARG00000031161","nr1d4a","protein_coding",563150,"nuclear receptor subfamily 1, group D, member 4a [Source:ZFIN;Acc:ZDB-GENE-080403-5]"
"ENSDARG00000031164","ENSDARG00000031164","tuba8l2","protein_coding",393664,"tubulin, alpha 8 like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1646]"
"ENSDARG00000031198","ENSDARG00000031198","hmg20a","protein_coding",326908,"high mobility group 20A [Source:ZFIN;Acc:ZDB-GENE-030131-5107]"
"ENSDARG00000031200","ENSDARG00000031200","ppp2r5cb","protein_coding",557208,"protein phosphatase 2, regulatory subunit B', gamma b [Source:ZFIN;Acc:ZDB-GENE-041014-4]"
"ENSDARG00000031202","ENSDARG00000031202","alg11","protein_coding",407614,"asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase) [Source:ZFIN;Acc:ZDB-GENE-030131-7282]"
"ENSDARG00000031203","ENSDARG00000031203","commd1","protein_coding",692293,"copper metabolism (Murr1) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060512-329]"
"ENSDARG00000031214","ENSDARG00000031214","arcn1b","protein_coding",399661,"archain 1b [Source:ZFIN;Acc:ZDB-GENE-040121-7]"
"ENSDARG00000031216","ENSDARG00000031216","ssu72","protein_coding",393701,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:ZFIN;Acc:ZDB-GENE-040426-1689]"
"ENSDARG00000031222","ENSDARG00000031222","lhx2b","protein_coding",791744,"LIM homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-051220-1]"
"ENSDARG00000031228","ENSDARG00000031228","podxl","protein_coding",563365,"podocalyxin-like [Source:ZFIN;Acc:ZDB-GENE-030131-2805]"
"ENSDARG00000031240","ENSDARG00000031240","kidins220a","protein_coding",570732,"kinase D-interacting substrate 220a [Source:ZFIN;Acc:ZDB-GENE-041014-170]"
"ENSDARG00000031243","ENSDARG00000031243","snai3","protein_coding",567724,"snail family zinc finger 3 [Source:ZFIN;Acc:ZDB-GENE-061013-757]"
"ENSDARG00000031246","ENSDARG00000031246","hbegfb","protein_coding",407664,"heparin-binding EGF-like growth factor b [Source:ZFIN;Acc:ZDB-GENE-070820-6]"
"ENSDARG00000031248","ENSDARG00000031248","enkur","protein_coding",402794,"enkurin, TRPC channel interacting protein [Source:ZFIN;Acc:ZDB-GENE-070718-1]"
"ENSDARG00000031261","ENSDARG00000031261","sap30bp","protein_coding",321738,"SAP30 binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-457]"
"ENSDARG00000031269","ENSDARG00000031269","rnf123","protein_coding",101884269,"ring finger protein 123 [Source:ZFIN;Acc:ZDB-GENE-050208-529]"
"ENSDARG00000031278","ENSDARG00000031278","si:ch73-193i2.2","protein_coding",101886139,"si:ch73-193i2.2 [Source:ZFIN;Acc:ZDB-GENE-141215-32]"
"ENSDARG00000031283","ENSDARG00000031283","vamp1","protein_coding",406707,"vesicle-associated membrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2725]"
"ENSDARG00000031293","ENSDARG00000031293","dnajc9","protein_coding",436706,"DnaJ (Hsp40) homolog, subfamily C, member 9 [Source:ZFIN;Acc:ZDB-GENE-040718-130]"
"ENSDARG00000031299","ENSDARG00000031299","dhrs11b","protein_coding",791770,"dehydrogenase/reductase (SDR family) member 11b [Source:ZFIN;Acc:ZDB-GENE-040625-155]"
"ENSDARG00000031302","ENSDARG00000031302","smap1","protein_coding",777731,"small ArfGAP 1 [Source:ZFIN;Acc:ZDB-GENE-060920-2]"
"ENSDARG00000031307","ENSDARG00000031307","zic4","protein_coding",767673,"zic family member 4 [Source:ZFIN;Acc:ZDB-GENE-040622-4]"
"ENSDARG00000031316","ENSDARG00000031316","six6b","protein_coding",553611,"SIX homeobox 6b [Source:ZFIN;Acc:ZDB-GENE-050522-308]"
"ENSDARG00000031317","ENSDARG00000031317","ppdpfb","protein_coding",336303,"pancreatic progenitor cell differentiation and proliferation factor b [Source:ZFIN;Acc:ZDB-GENE-030131-8247]"
"ENSDARG00000031325","ENSDARG00000031325","tmed1a","protein_coding",445093,"transmembrane p24 trafficking protein 1a [Source:ZFIN;Acc:ZDB-GENE-040801-229]"
"ENSDARG00000031336","ENSDARG00000031336","hsd20b2","protein_coding",368367,"hydroxysteroid (20-beta) dehydrogenase 2 [Source:ZFIN;Acc:ZDB-GENE-030804-21]"
"ENSDARG00000031337","ENSDARG00000031337","hoxa10b","protein_coding",30391,"homeobox A10b [Source:ZFIN;Acc:ZDB-GENE-990415-97]"
"ENSDARG00000031343","ENSDARG00000031343","rab6bb","protein_coding",541339,"RAB6B, member RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-050320-28]"
"ENSDARG00000031345","ENSDARG00000031345","si:dkey-40c11.1","protein_coding",564545,"si:dkey-40c11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-142]"
"ENSDARG00000031346","ENSDARG00000031346","rbm17","protein_coding",393889,"RNA binding motif protein 17 [Source:ZFIN;Acc:ZDB-GENE-040426-817]"
"ENSDARG00000031348","ENSDARG00000031348","mc5ra","protein_coding",286834,"melanocortin 5a receptor [Source:ZFIN;Acc:ZDB-GENE-021223-3]"
"ENSDARG00000031359","ENSDARG00000031359","cmpk2","protein_coding",570478,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040724-24]"
"ENSDARG00000031366","ENSDARG00000031366","rtn4ip1","protein_coding",393323,"reticulon 4 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1314]"
"ENSDARG00000031372","ENSDARG00000031372","efna2a","protein_coding",30218,"ephrin-A2a [Source:ZFIN;Acc:ZDB-GENE-990415-66]"
"ENSDARG00000031382","ENSDARG00000031382","reep2","protein_coding",568927,"receptor accessory protein 2 [Source:ZFIN;Acc:ZDB-GENE-050706-125]"
"ENSDARG00000031383","ENSDARG00000031383","klhl38a","protein_coding",559083,"kelch-like family member 38a [Source:ZFIN;Acc:ZDB-GENE-060503-737]"
"ENSDARG00000031387","ENSDARG00000031387","cers4a","protein_coding",259250,"ceramide synthase 4a [Source:ZFIN;Acc:ZDB-GENE-020808-1]"
"ENSDARG00000031388","ENSDARG00000031388","dctn2","protein_coding",394141,"dynactin 2 (p50) [Source:ZFIN;Acc:ZDB-GENE-040426-1279]"
"ENSDARG00000031420","ENSDARG00000031420","wt1a","protein_coding",30245,"wilms tumor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-558]"
"ENSDARG00000031422","ENSDARG00000031422","igfbp2b","protein_coding",798920,"insulin-like growth factor binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-090107-3]"
"ENSDARG00000031426","ENSDARG00000031426","csrnp1a","protein_coding",560270,"cysteine-serine-rich nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-070912-475]"
"ENSDARG00000031427","ENSDARG00000031427","calm2a","protein_coding",336121,"calmodulin 2a (phosphorylase kinase, delta) [Source:ZFIN;Acc:ZDB-GENE-030804-3]"
"ENSDARG00000031434","ENSDARG00000031434","rcor1","protein_coding",569294,"REST corepressor 1 [Source:ZFIN;Acc:ZDB-GENE-050506-79]"
"ENSDARG00000031435","ENSDARG00000031435","zgc:56493","protein_coding",336637,"zgc:56493 [Source:ZFIN;Acc:ZDB-GENE-030131-8581]"
"ENSDARG00000031438","ENSDARG00000031438","kcnj11l","protein_coding",497647,"potassium inwardly-rectifying channel, subfamily J, member 11, like [Source:ZFIN;Acc:ZDB-GENE-050222-2]"
"ENSDARG00000031463","ENSDARG00000031463","syt6b","protein_coding",562928,"synaptotagmin VIb [Source:ZFIN;Acc:ZDB-GENE-090601-3]"
"ENSDARG00000031483","ENSDARG00000031483","col9a1b","protein_coding",406548,"collagen, type IX, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2410]"
"ENSDARG00000031489","ENSDARG00000031489","ognb","protein_coding",100170815,"osteoglycin, paralog b [Source:ZFIN;Acc:ZDB-GENE-080723-61]"
"ENSDARG00000031494","ENSDARG00000031494","prrc2a","protein_coding",394248,"proline-rich coiled-coil 2A [Source:ZFIN;Acc:ZDB-GENE-010501-4]"
"ENSDARG00000031495","ENSDARG00000031495","seta","protein_coding",323501,"SET nuclear proto-oncogene a [Source:ZFIN;Acc:ZDB-GENE-030131-2221]"
"ENSDARG00000031496","ENSDARG00000031496","ap1ar","protein_coding",100332265,"adaptor related protein complex 1 associated regulatory protein [Source:ZFIN;Acc:ZDB-GENE-130530-580]"
"ENSDARG00000031506","ENSDARG00000031506","flvcr2b","protein_coding",569329,"feline leukemia virus subgroup C cellular receptor family, member 2b [Source:ZFIN;Acc:ZDB-GENE-041210-312]"
"ENSDARG00000031511","ENSDARG00000031511","psmb2","protein_coding",436882,"proteasome subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-040718-353]"
"ENSDARG00000031533","ENSDARG00000031533","ap5m1","protein_coding",553681,"adaptor related protein complex 5 subunit mu 1 [Source:ZFIN;Acc:ZDB-GENE-050522-231]"
"ENSDARG00000031534","ENSDARG00000031534","CU571315.1","protein_coding",NA,"NULL"
"ENSDARG00000031540","ENSDARG00000031540","tmem200a","protein_coding",556369,"transmembrane protein 200A [Source:ZFIN;Acc:ZDB-GENE-040724-81]"
"ENSDARG00000031548","ENSDARG00000031548","ephb3a","protein_coding",30313,"eph receptor B3a [Source:ZFIN;Acc:ZDB-GENE-990415-60]"
"ENSDARG00000031560","ENSDARG00000031560","srpk1b","protein_coding",791187,"SRSF protein kinase 1b [Source:ZFIN;Acc:ZDB-GENE-070112-2292]"
"ENSDARG00000031562","ENSDARG00000031562","tada2a","protein_coding",797303,"transcriptional adaptor 2A [Source:ZFIN;Acc:ZDB-GENE-060929-508]"
"ENSDARG00000031587","ENSDARG00000031587","flvcr1","protein_coding",562595,"feline leukemia virus subgroup C cellular receptor 1 [Source:ZFIN;Acc:ZDB-GENE-041014-359]"
"ENSDARG00000031588","ENSDARG00000031588","si:dkey-239b22.1","protein_coding",100330672,"si:dkey-239b22.1 [Source:ZFIN;Acc:ZDB-GENE-131119-12]"
"ENSDARG00000031598","ENSDARG00000031598","calb1","protein_coding",100001650,"calbindin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8107]"
"ENSDARG00000031600","ENSDARG00000031600","rd3","protein_coding",791149,"retinal degeneration 3, GUCY2D regulator [Source:ZFIN;Acc:ZDB-GENE-040724-103]"
"ENSDARG00000031616","ENSDARG00000031616","g6pca.1","protein_coding",445118,"glucose-6-phosphatase a, catalytic subunit, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-031001-4]"
"ENSDARG00000031618","ENSDARG00000031618","unm_sa1261","protein_coding",557524,"un-named sa1261 [Source:ZFIN;Acc:ZDB-GENE-120411-10]"
"ENSDARG00000031632","ENSDARG00000031632","chst10","protein_coding",445322,"carbohydrate sulfotransferase 10 [Source:ZFIN;Acc:ZDB-GENE-040808-40]"
"ENSDARG00000031637","ENSDARG00000031637","pan3","protein_coding",100126012,"poly(A) specific ribonuclease subunit PAN3 [Source:ZFIN;Acc:ZDB-GENE-070928-13]"
"ENSDARG00000031647","ENSDARG00000031647","stat2","protein_coding",565200,"signal transducer and activator of transcription 2 [Source:ZFIN;Acc:ZDB-GENE-080321-1]"
"ENSDARG00000031649","ENSDARG00000031649","cort","protein_coding",751721,"cortistatin [Source:ZFIN;Acc:ZDB-GENE-030813-3]"
"ENSDARG00000031657","ENSDARG00000031657","fahd1","protein_coding",553762,"fumarylacetoacetate hydrolase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-448]"
"ENSDARG00000031658","ENSDARG00000031658","si:ch211-207d6.2","protein_coding",570069,"si:ch211-207d6.2 [Source:ZFIN;Acc:ZDB-GENE-070912-185]"
"ENSDARG00000031664","ENSDARG00000031664","sox21a","protein_coding",30543,"SRY (sex determining region Y)-box 21a [Source:ZFIN;Acc:ZDB-GENE-990715-6]"
"ENSDARG00000031678","ENSDARG00000031678","col5a2a","protein_coding",564821,"collagen, type V, alpha 2a [Source:ZFIN;Acc:ZDB-GENE-030616-13]"
"ENSDARG00000031680","ENSDARG00000031680","ercc1","protein_coding",100001425,"excision repair cross-complementation group 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2606]"
"ENSDARG00000031681","ENSDARG00000031681","atp6v0b","protein_coding",321724,"ATPase H+ transporting V0 subunit b [Source:ZFIN;Acc:ZDB-GENE-030131-443]"
"ENSDARG00000031683","ENSDARG00000031683","fosab","protein_coding",394198,"v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]"
